2,5,10,14,20,21,33,40,44,56,63,67,71,82,83
3,7,12,17,28,30,38,47,49,53,57,60,68,70,84
4,9,18,19,24,27,35,48,50,59,61,73,78,85,88
8,11,13,25,26,31,32,41,45,54,65,76,79,87,89
1,16,29,37,39,43,46,51,52,64,66,74,75,81,86
6,15,22,23,34,36,42,55,58,62,69,72,77,80,90
3,9,11,12,22,25,35,38,48,56,60,61,71,76,87
1,2,18,23,26,32,39,40,43,57,66,67,78,80,83
8,14,19,28,34,37,42,49,54,59,62,65,70,85,86
5,10,15,21,29,36,44,46,53,58,63,73,74,88,90
4,6,13,16,20,33,47,50,55,68,69,72,79,81,82
7,17,24,27,30,31,41,45,51,52,64,75,77,84,89
1,3,11,15,21,26,32,36,44,48,51,53,68,70,90
7,10,14,22,25,34,37,45,56,57,61,69,76,80,87
9,16,29,30,35,41,47,52,55,60,65,72,77,81,89
8,19,23,27,31,40,43,54,59,66,67,74,78,86,88
2,5,13,18,28,33,39,49,58,62,64,71,75,82,83
4,6,12,17,20,24,38,42,46,50,63,73,79,84,85
3,12,14,28,38,40,44,57,58,60,67,70,72,88,89
5,7,10,20,25,30,39,46,56,59,68,74,77,81,87
4,6,13,16,26,27,32,35,41,54,66,76,79,84,85
9,11,24,36,37,47,48,52,55,63,64,71,78,86,90
1,15,18,21,22,33,34,43,45,50,51,65,69,75,80
2,8,17,19,23,29,31,42,49,53,61,62,73,82,83
9,16,21,26,31,37,42,46,58,59,67,69,71,77,82
8,12,27,33,36,44,49,56,57,60,61,75,79,80,86
3,14,17,24,28,32,34,47,55,64,66,73,76,83,87
2,6,11,15,20,23,35,40,48,51,63,65,78,81,85
4,5,10,13,29,30,43,45,52,53,62,70,72,89,90
1,7,18,19,22,25,38,39,41,50,54,68,74,84,88
3,6,10,15,25,26,37,44,52,58,60,68,74,87,89
2,4,12,22,29,31,36,40,51,59,64,65,71,79,80
9,18,23,28,32,38,41,49,54,56,61,73,78,82,83
1,16,17,20,30,33,42,47,50,53,66,69,70,84,90
7,11,13,21,27,34,39,43,46,57,63,72,76,85,86
5,8,14,19,24,35,45,48,55,62,67,75,77,81,88
5,8,10,16,23,27,32,45,48,53,68,76,78,83,90
2,15,18,21,29,36,38,43,51,58,62,69,71,77,87
6,9,11,17,24,25,37,39,40,52,55,67,73,81,84
